"","rep","method","coverage","alpha"
"594",16,"ada",0.25,0.75
"595",16,"ada",0.15,0.7
"596",16,"ada",0.1,0.65
"597",16,"ada",0.25,0.6
"598",16,"ada",0.1,0.55
"599",16,"ada",0.1,0.5
"600",16,"ada",0.1,0.45
"601",16,"ada",0.1,0.4
"602",16,"ada",0.05,0.35
"603",16,"ada",0.05,0.3
"604",16,"ada",0.05,0.25
"605",16,"ada",0.1,0.2
"606",16,"ada",0.1,0.15
"607",16,"ada",0,0.0999999999999999
"608",16,"ada",0,0.05
"609",17,"conf",1,0.95
"610",17,"conf",1,0.9
"611",17,"conf",1,0.85
"612",17,"conf",0.95,0.8
"613",17,"conf",0.95,0.75
"614",17,"conf",0.9,0.7
"615",17,"conf",0.8,0.65
"616",17,"conf",0.8,0.6
"617",17,"conf",0.7,0.55
"618",17,"conf",0.6,0.5
"619",17,"conf",0.6,0.45
"620",17,"conf",0.6,0.4
"621",17,"conf",0.5,0.35
"622",17,"conf",0.45,0.3
"623",17,"conf",0.35,0.25
"624",17,"conf",0.25,0.2
"625",17,"conf",0.2,0.15
"626",17,"conf",0.1,0.0999999999999999
"627",17,"conf",0,0.05
"628",17,"ada",0.75,0.95
"629",17,"ada",0.6,0.9
"630",17,"ada",0.5,0.85
"631",17,"ada",0.3,0.8
"632",17,"ada",0.2,0.75
"633",17,"ada",0.2,0.7
"634",17,"ada",0.15,0.65
"635",17,"ada",0.2,0.6
"636",17,"ada",0.15,0.55
"637",17,"ada",0.15,0.5
"638",17,"ada",0.2,0.45
"639",17,"ada",0.1,0.4
"640",17,"ada",0.1,0.35
"641",17,"ada",0.15,0.3
"642",17,"ada",0.05,0.25
"643",17,"ada",0,0.2
"644",17,"ada",0,0.15
"645",17,"ada",0,0.0999999999999999
"646",17,"ada",0,0.05
"647",18,"conf",1,0.95
"648",18,"conf",0.9,0.9
"649",18,"conf",0.75,0.85
"650",18,"conf",0.75,0.8
"651",18,"conf",0.7,0.75
"652",18,"conf",0.65,0.7
"653",18,"conf",0.55,0.65
"654",18,"conf",0.5,0.6
"655",18,"conf",0.4,0.55
"656",18,"conf",0.35,0.5
"657",18,"conf",0.3,0.45
"658",18,"conf",0.25,0.4
"659",18,"conf",0.25,0.35
"660",18,"conf",0.2,0.3
"661",18,"conf",0.2,0.25
"662",18,"conf",0.2,0.2
"663",18,"conf",0.15,0.15
"664",18,"conf",0.05,0.0999999999999999
"665",18,"conf",0,0.05
"666",18,"ada",0.6,0.95
"667",18,"ada",0.5,0.9
"668",18,"ada",0.5,0.85
